HYMN TITLE,Hymn
WA NGƐ NYƐƐE KƐ YA ZION,1
O JI AGBO,2
NI TSUMI NGƐ YE NƆ,3
O NYƐƐ BU NYAKPƐ MUNYU Ɔ TUE,3
NYƆMTSƐ JI YE NƆ HIƐLƆ,4
MAWU SUƆ MI,5
O NYƐ JA MATSƐ Ɔ,6
NYƐƐ WO YESU BIƐ Ɔ NƆ WAWƐƐ,7
YESU O BIƐ Ɔ NGƆƆ WAWƐƐ,8
NYƆMTSƐ AHUMI Ɔ NGƐ FIAE,9
JƆƆMI NYU,10
O SA YI JEMI,11
MA LA KƐ BUTTONLƐ AKPE,12
TSALƆ NGUA,13
NGƐ YOKU Ɔ TSITSAA A NƆ,14
BENƐ I HYƐ NYAKPƐ SUƆMI TSO Ɔ,15
YE NYƆMTSƐ KƐ E MUƆ PUE SIZ,16
HALELUYA KPƆLƆ JI LƐ,17
E MA BA MI KAA MA NA HE SE LO?,18
YESU MA HI O SƐUMTSO Ɔ HE,19
MO KUDƆ MI YEHOWA NGUA,20
NƆ KO BE,21
WA NA MO SI MAWU,22
HALELUYA JE YEHOWA YI,23
ANUNYAM'HA MAWU,24
O GBO WE,25
I KƐ YESU MA NYƐƐ,26
BLEMA TƐSA,27
WA NGƐ SƐKƐ KO,28
TUEM'JƆM'KPAKPA,29
JƆƆMI GBI FIAMI,30
E HI HA YE KLA,31
MO HYƐ NƐ HI,32
O NYƐ BU NYAKPƐ MUNYU Ɔ TUE,33
MAWU WA BLEMA YEBUALƆ,34
NƆ TSUAA NƆ NGƐ ZUGBA A NƆ,35
YE HƐ NƆ KAM'BE NƆ KO NƆ,36
HIƆWE ZUGBA,37
YA NƆ NƐ O TSU NI TSUMI,38
MA DE HA YESU,39
MO NƐ I KƐ NGƐ DAA KƐ DAA,40
YE HEM'KƐ YEM'NGƐ MO HYƐE,41
HIƆWE PU LA,42
NYƐƐ HE A YIWA NAM',43
WA TSƐ MƆBƆ NAM'NGƐ KPƐE,44
KBUTTONSTOFOBUTTON TA BUBUTTON,45
TESI TESI HA YESU,46
KPƐ KANE,47
I KƐ YE HE KULAA HA YESU,48
NGƆƆ YE WAMI KƐ PEE O NƆ,49
NYƆMTSƐ O NƆ JI IMI,50
E NGƆƆ KAA MA HE YESU YE,51
I KƐ MO NGƐ MAWU LEE,52
YE SUƆLƆ KPANAA KƐ YESU HE SANE,53
A JƆƆ SUƆM'KPA NƐ FI WƆ,54
MO NGƆ YESU BIƐ NGƆ FƆ O NƆ,55
KE WAMI OSLƆKE,56
KƐ JE LOKOO,57
MAWU PIƐ O HE,58
WA MA BUA WA HE NYA NGƐ PA A NYA,59
O NYƆMTSƐ HANƐ I KƐ MO NYƐƐ,60
NYƆMTSƐ KƐ ADESA TSAATSƐ,61
TSƐ KPAKPA TA YE DƐM',62
MO GBA MI YESU HE SANE,63
PIƆ NƐ Ɔ BUTTONGBI Ɔ BA NYAGBE,64
NYƆTSƐ WA BA O HƐM'PIƆ,65
MƐ NƆ HUƐ KPAKPA JI YESU,66
YESU YE SUSUMA SUƆLƆ,67
KƐ MI HI SI,68
I HIA MO BE FƐƐ BE,69
MO TSƆƆ MI BLƆ OKLEMEKUKU,70
KE WƆ TSUO WA SU HIƆWE,71
SI HIMI HE KO NGƐ,72
NYƐƐ HA WA KƐ JUƐMI KPAKPA,73
NGƆNGUƐ BE FƐƐ BE,74
NGƐ MƆTU BUA JƆMI,75
HE WAM'NGƐ MUƆ Ɔ MI,76
HE YE NƐ O BU TUE,77
BƆNƐ I NGƐ,78
HƐM'MLƆM'GBI,79
