SONG,Number
WA TSƐ MAWU NƆKO BE KAA MO,124
WAN AA MO SI MAWU TOBI,125
OBI Ɔ SA YI JEM,126
YE MAWU HI,127
KLƆUKLƆUU WA NGƐ MO GBAE,128
E MAA PEE HA,129
YESU PI SI DAA,130
WO O BUA KO YE GBEYE,131
NYƆMTSƐ TU MUNYU,132
MUƆ KO NGƐ BEE NGƐ KALVABUTTON,133
YESU TA NƐ Ɔ O TA,134
O MI MI JƆMI HE JE,135
JE Ɔ TSUO MAWU,136
BENƐ I NGƐ WAMI NƐ Ɔ,137
DLOLƆ WA NYINGMO,138
ADESA LEE,139
GUGUETSƐ KPANAA YEHOWA,140
WA HE FALƆ JI MO YEHOWA,141
YE HUƐ KPAKPA NGƐ YE KASAM',142
O ADEB NIHI NGƐ O YI JEE,143
ASAFO YEHOWA KƐ WƆ NGƐ,144
MAWU KƐ WƆ NGƐ,145
YESU NGƐ MO TSƐE,146
MAWU SUƆ E BIMƐ,147
MAWU MO PƐ NƐ WA MA JA,148
MO JI MAWU O TSAKE WE,149
MAWU HI DAA,151
"YE MAWU, KAI MI",152
BLEMA MAWU WA MA JA MO,153
SINA TSUO JI O NƆ,154
MA NGƆ YE KLA KƐ YE TSUI,155
NYƐ HƐ KA SI,156
I YE MO SINA HIƆ,157
MI DALƆ,158
NYƐƐ HWO E NƆ,159
NAKUTSOHI KULAA NƐ KPLASI,160
O KLE GOJOO,161
NYƐƐ HA NƐ WA NYƐƐ WA MAWU SE,162
YEHOWA KATSƐ,163
I NA YESU YOSƐF BI Ɔ,164
SINA HA MAWU,165
ADEBƆ NIHI TSUO A MAWU JI MO,166
I KƐ YE TSUI KULAA MA SUƆ MO,167
MAWU KPETEKPLE JI MO,168
WA NGƐ NYUMU KPANAA,169
MAWU O MI MI JƆ,170
YEHOWA WA HEƆ O BIƐ Ɔ YEƆ,171
YESU KƐ WƆ YAA,172
WA JE O BIƐ Ɔ YI,173
O BIƐ NGƐ NYAKPƐ,174
GBENƆ NYƐ WE LƐ,175
KƐ O BLƆ WO YEHOWA DƐM',176
KPALE BA NGƆ O YI JEM',177
MAWU JI MATSƐ KPANAA,178
I DAA SI NGƐ KALVABUTTON,179
I BE NYƐE MA NA MO SI,180
ABRAHAM MAWU TSƐ KPAKPA,181
HIƆWE KƐ ZUGBA BƆLƆ,182
BUA JƆM'SANE AGBO,183
BLƆ TSƆƆLƆ MAWU,184
FO KƐ PUE E NƆ,185
KE I PA YE NYAM',186
I LE KAA NYƆMTSƐ MA BBUTTON BLƆ KO,187
E JI MAWU,188
ADEBƆ NIHI TSUO,189
NYƐƐ HA WA HYIƐ LƐ,190
YESU YESU E NGƐ HA WƆ DAA,191
FI SI NGƐ YESU MI,192
HE WAM'TSUƐ PƐ NGƐ O DƐM',193
YEHOWA HI,194
O NINE NYA NI TSUMI NGƐ NYAKPƐ,195
KƐ MI PEE NƆ NƐ O SUƆ,196
MA TO YE WETO NI,197
E JI NYƆMTSƐ,198
MO JI HƐ KALƆ MAWU,199
MAWU AGBO,200
YAWƐ O HE NGƐ NYAKPƐ,201
NƆ NƐ O DU,202
KE O NGƐ YESU,203
MA YA MAWU WE,204
NYƆMTSƐ Ɔ MA BA,205
MUNYU JI KANE,206
YE KLA BU O NYƆMTSƐ TUE,207
NYƆMTSƐ KLƆUKLƆU I SƐ,208
EBENEZA,209
DLOOLƆ TSƐ MAWU,210
E SU YE HE PE YE HUƐ,211
BLEMA MAWU,212
ASAFO YEHOWA KƐ WƆ NGƐ,213
YE KLA PU,214
MWƆ NƐ HE WA JI YEHOWA,215
NYƐ KO YE GBEYE,216
MAWU LEE MO NƐ WA MA JA MO,217
E JI MAWU NƐ TSAKE WE,218
NƆ AGBO NƐ O PEE,219
MAWU HI MAWU HI DAA,220
YE MAWU KAI MI,221
E MATSƐ YEM'NGƐ E KONƆ,222
MAWU TENƐ NGƐ KAA ENƐ Ɔ,223
DLOMI KO NGƐ YESU MI,224
NƆMLƆ ADESA KAI NƆ NƐ MAWU PE HA MO,225
BLƆ KO NGƐ NƐ WA MA HIA,226
WA NGƐ WA NANE HIAE,228
WANGƐ MA KO NƐ E MI NGƐ KPƐE FƐUFƐU,229
WA NGƐ BLƆ HIAE KƐ YA HIƆWE MAM',230
BENƐ O MAA FƆ NINE KƐ TSƐ O KASELI ƆMƐ,231
SAKE O NƆ KPAKPA KO KƐ FƆ NYU Ɔ HƐM',232
MA TSU NI KƐ HA MAWU,233
E TUƆ MUNYU HAA KƆƆHIƆ,234
BENƐ YEHOWA KƐ E BIMƐ MA PO WO Ɔ,235
MA DE KE YESU HI,236
NYƐ HA WA NA WA MAWU SI,237
MAWU O HI MAWU AGBO,238
MA YA NƆ MA JA MO DAA,239
NU NU NU WA TSƐ NU WA GBI,240
WA MA LA EBENEZA,241
MO JI YE TSƐI KƐ YE DAMA,242
E HWEƆ E NINE NƆ,243
HE WAM'TSUO NGƐ MAWU DƐM' A,244
WA NA MO,245
SUƆMI MAWU,246
JE Ɔ TSUO A MAWU,247
E MATSƐ YEM'JE HIƆWE,248
MAWU BI Ɔ,249
ANUNYAM'HA HIƆWE MATSƐ,250
WA  JE O BIƐ Ɔ JI NYƆMTSƐ,251
YE SUƆLƆ KPANAA,252
AO YE KLA JE MAWU YI,253
MƐNƆ HA I BE MO SINAE,254
KE I NGƐ SUƆMI KAA MATSƐ YESU,255
SINA KƐ YI JEMI LA,256
I KƐ O YI JEM'NGƐ MO HAE,257
TULƆ JI MO,258
HE WAM'TSUO NGƐ MAWU DƐM' B,260
MUNYU TSUO NA MA TU Ɔ,261
"YAWƐ LEE, O HE NGƐ NYAKPƐ",262
O HI O MAWU HI,263
TSAATSƐ BA NYƐƐ YE HƐM’,264
E PEƆ MI BUA JƆM',265
MATSƐMƐ A MATSƐ,270
