Hymn,number
NAAWƆTWE DA A EDI KAN,1
ME KRA AWIA,2
HYIRA NKA HOMA A,3
YƐRETU SA AKƆ ZION,4
ƆDƆ KRONKRON,5
BRƐBRƐ NA ƐYƐ,6
MƐTIE,7
O KA ASƐMPA NO,8
WO YƐ KƐSE,9
BUELAH MAN,10
MONSURO KUO KETEWA,11
ƐYƐ SƐ ME TWERE YESU,12
WO FATA YƐN WURA,13
OWURA SOMA ME,14
AWURADE ADIDI,15
NISUO NNI SORO,16
ƆDƆ ANWANWASƐM,17
MA NO MRA MU,18
ƆKYERƐ ME KWAN,19
MONKAMFO YESU,20
KA YESU HO ASƐM KYERE ME,21
YƐBƐSƐ NO,22
ME YESU MEDƆ WO,23
MENE BOBE NO,24
NE NYINAA YƐ,25
YƐ NE NYINAA AWURADE DIN MU,26
MANYA YƆNKO,27
MONSƆRE KRISTO ASRAAFOƆ,28
TO WO BO YƐ KRONKRON,29
SƐ AHOTEFOƆ SEN KƆ MU A,30
YƐBƐHYIA ASUO NO SO,31
ƆBƐHWƐHWƐ ME,32
ENTI MENKƆ NO NSAPAN?,33
SO ƐYƐ ME DEA?,34
ƆDƆ MAA ME SO,35
MENIM DEƐ MAGYE NO ADI,36
YESU A ƆHYERƐN,37
ƐRENKYƐ PII,38
YƐ NE NYAME NANTE,39
GYE ME BRA,40
AHOTOSO PA MANYA YESU,41
METE WO NNE DƐƐ DƐ,42
YƆNKO BƐN NA ƆTE SƐ YESU?,43
MONSƆRE NGYINA MMA YESU,44
TETEBO A WOPAE MAA ME,45
ME GYEDI TIM WO SO,46
BURA BI WƆ HƆ MOGYA MA,47
ƆMAN BI WƆ HƆ ƐHYERƐN SEN WI,48
SƐ MEDWEN ASƐNDUA NWANWA,49
KRISTO ASRAAFOƆ,50
ANIGYE DA,51
MENFƐRE M’AWURADE HO,52
AO BRA MA YƐNNI DƐ,53
YESU KORA ME ASENDUA HO,54
YESU DI HENE BAABIARA,55
YERUSALEM M’AHOTƆ FIE,56
AWURADE NE ME DWANHWƐFOƆ,57
MAGYAA ADE NYINAA AMA YESU,58
ƐYƐ ME DƐ SƐ YƐN AGYA WƆ SORO,59
KRISTO YƐN WURA ASƆRE NNƐ,60
MOMMRA MOMA YƐMMOM NTO DWOM,61
ASƐNDUA A M’AGYENKWA WUU ASE,62
WO NKYƐN ARA NYAME,64
YEHOWA KRISTO KYERƐ WIASE,65
KRONKRON KRONKRON KRONKRON,66
ƆDA ADAMOA MU,67
SƐDEƐ YESU DIN SI YƐ DƐ,68
OYI NE NYAME A YƐSOM NO,69
O MEDƆ ME YESU,70
M’AKOMA MU,71
ANKA MENYA TƐKYERƐMA APEM,72
ƆKO KƐSEƐ NO WAWIE KO,73
MONYI NYAME HENE AYƐ,74
KOKO BI SI NOHO ARA,75
ƆBƆNE HUNU NYANSA NTƐM,76
MEHIA WO MERƐ NYINAA,77
YƐGU ABA ANƆPA AYAMYE ABA,78
YESU KORA ME ASENNUA HO,79
GYE WƆN A WOAYERA WƆN A WƆREWU,80
DEƐ METE YI MENNI HWEE KA,81
WO NE ME NTENA,82
YESU KRISTO RESEN HA,83
ODUYƐFOƆ KESEƐ ABƐN,84
FA YESU DIN BATA WO HO,85
YESU GYE NNEBƆNEFOƆ,86
MEYƐ WO DE NYAME,87
ASODIE DA ME SO,88
DƐN NA MENFA NYI WO AYƐ?,89
WO A MEKOMA AFE WO,90
ƐDAN HUNU BI,91
YEA NNIPA,92
ƐPO NO AGYA HƆ,93
BƆ MPAE MERE NYINAA,94
ƐPONO NO ANO DA HƆ,95
YESU ME KRA NE DƐFO,96
MA YESU NTENA WAKOMA MU,97
O DWENE NOHOAA EFIE NO HO,98
HWEE NNI HƆ SƐ YESU MOGYA,99
NKWASƐM NWANWA,100
MEREBA W’ASENNUA ASE,102
BERE A WƆBOBƆ DIN,103
MONKAMFO YESU DIN,104
MPA ME HO,105
NYAME YƐYI W’AYƐ,106
GYEFOƆ YESU KYERƐ ME KWAN,107
MEDE ME BƆNE BRƐ WO,108
OBI NNI HƆ,109
ASAFO NO FAPEM,110
MEDA KOMA A YEA AHYƐ NO MA,111
MMA SƆHWƐ NNI WO SO,112
ƆDASUOM OLIVE BEPƆSO,113
BRA AGYENKWA HƆ,114
MEDA YESU BASA MU,115
ADƐN NA ƆDƆ ME SAA,116
FA HANN NO BRA,117
ADƐN NA ƐNYƐ ANADWO YI?,118
OBIARA A ƆPƐ MMRA,119
TUM WƆ MOGYA NO MU,120
FA WƆN BRA,121
YESU ABA ANƆPA,122
YƐREPEMSO KƆ,122
MERESI HANN NO MU,123
ASAASE FƐ NTI,124
ƐNE ME NTENA,125
EBIA ƆKYENA RENTO YƐN,126
WO ANOYIE BƐYƐ SƐN?,127
TO NNWOM MA W’ANI NYE,128
TI KRONKRON,129
ASOMDWOE NYAME DƆ AKYƐDEƐ,130
HWAN NA ƆGYINA ME PONO AKYI?,131
MENIM SƐ MEGYEFO TE ASE,132
ENTI ƐYƐ MA WO KRA?,133
SƐ AHOTEFOƆ KƆ ƐSORO HƆ A,134
YƐBƐHU ƆHENE NO DABI,135
O WO NHYIRA NYINAA ABURA,136
ƆSOM KRONKRON,137
MA HENE ADWUMA MU,138
ƐKA BƐN NA MEDEƐ?,139
OBI NE ME,140
WƆDE NO BƆƆ ASENNUA HO,141
WƆN A WƆAYERA HWEHWƐ,142
MƐTO ANWANWASƐM,143
MEDE ME NKWA AMA WO,144
ƆBOTAN NO,145
YESU HO ASƐM PII,146
FA TWERƐ NO MA ME,147
O MEWURA MA ME NE WO NANTE,148
KAN WO NHYIRA,149
TIE ƐNNE BRƐOO NO,150
ƐTRA NHUNUMU,151
BƆ MPAE MERE NYINAA,152
ƆDWENEE ME HO,153
HALLELUIAH KAMFO YEHOWA,154
YƐ DEƐ WOPƐ,155
ABRABƆ FƐƐ FƐ,156
ATWAFOƆ FRƐ,157
METWERE YESU,158
YƐ ME NHYIRA KWAN,159
ABUFUSƐM,160
KƆ ADWUMA NO SO,161
MEPƐ SƐ MEYƐ ODWUMAYƐFOƆ,162
ƆDE ME KRA SIE,163
MEHIA YESU,164
ƆYƐƐ DƐN?,166
MEGYINA BƆHYƐ NO SO,167
HWAN NA ƆBƐDI YESU AKYI?,168
MEDI YESU AKYI,169
METWERE BASA A ƐNMU DA,170
MEKƆ DEƐ WO PƐ SƐ MEKƆ,171
PAANOO NO BUBUO,172
BƆNHWA MU SUKOOKO,173
NYAME ASAFO,174
ABAN KƐSE,175
ASƐNDUA FRANKAA,176
YESU FRƐ YƐN,177
MONGYINAA AKO NO,178
ME GYEFOƆ,179
O SƐ MƐYƐ SƐ WO,180
ADOM NWANWA,181
YESU ANWANWA DƆ,182
KA TETESƐM NO KYERƐ ME,183
WO NKYƐN NKO ARA,184
ASAASE A ƐKORƆN,185
NHYIRA BOSUO,186
SORO AWIA HANN,187
MƐYƐ BIRIBI AMA YESU,188
KA ME HO AWURADE,189
MASI MEBO,190
YƐN NYAME TE ASE,191
SIESIE WO HO HYIA WO NYAME,192
NE NYINAA YƐ,193
YƐDE KRISTO KYERƐ WIASE,194
WƆ KALVARY,195
MAGYENKWA DƆ,196
