HYMN TITLE, Hymn
OH PRAISE THE LORD THE LORD FOR HE IS GOOD,0
JESUS IS STANDING IN PILATE'S HALL,A
WALKING WITH JESUS ALONG LIFE'S WAY,1A
AFTER THE MIDNIGHT MORNING WILL GREET US,1
A WONDERFUL SAVIOR IS JESUS MY LORD,2
A MIGHTY FORTRESS IS OUR GOD,3
ASLEEP IN JESUS BLESSED SLEEP,4
HERE I LABOR AND TOIL AS I LOOK FOR A HOME,5
ALAS AND DID MY SAVIOR BLEED,6
ALL HAIL THE POW'R OF JESUS' NAME,7
A CHARGE TO KEEP I HAVE,8
EACH DAY I'LL DO A GOLDEN DEED,9
ALL TO JESUS I SURRENDER,10
IN THE BIBLE WE READ OF A BEAUTIFUL PRAY'R,11
AMAZING GRACE HOW SWEET THE SOUND,12
THERE IS REST SWEET REST AT THE MASTER'S FEET,13
BURIED WITH CHRIST MY BLESSED REDEEMER,14
TO GOD BE THE GLORY GREAT THINGS HE HATH DONE,15
BEYOND THE GATES OF LIFE SO FLEETING,16
THERE'S A BEAUTIFUL PLACE CALLED HEAVEN,17
I WANT TO BE A SOUL WINNER FOR JESUS EV'RY DAY,18
ABIDE WITH ME FAST FALLS THE EVENTIDE,19
AGAIN THE LORD OF LIGHT AND LIFE,20
ALMOST PERSUADED NOW TO BELIEVE,21
ANGELS ARE SINGING REDEMPTION'S SWEET SONG,22
ANGRY WORDS O LET THEM NEVER,23
EARTHLY WEALTH AND FAME,24
ANYWHERE WITH JESUS I CAN SAFELY GO,25
ALL THE WAY MY SAVIOR LEADS ME,26
AS THE LIFE OF A FLOW'R,27
SUNSET AND EVENING STAR,28
BEAUTIFUL ROBES SO WHITE,29
YOU ARE AT THE CROSSROADS,30
BE NOT DISMAYED WHATE'ER BETIDE,31
BE WITH ME LORD I CANNOT LIVE WITHOUT THEE,32
AWAKE AND SING THE SONG,33
ABIDE WITH ME 'TIS EVENTIDE,34
ALL PEOPLE THAT ON EARTH DO DWELL,35
BEHOLD A STRANGER AT THE DOOR,36
SOMEWHERE THE SUN IS SHINING,37
BENEATH THE CROSS OF JESUS,38
I WILL MEET YOU IN THE MORNING IN THAT CITY FOUR-SQUARE,39
INTO MY HEART INTO MY HEART,39b
WHEN YOU ARE ANXIOUS AND BURDENED WITH CARE,40
BY HIS WONDERFUL GRACE,41
I'VE REACHED THE LAND OF LOVE DIVINE,42
BLESSED ASSURANCE JESUS IS MINE,43
