HYMN TITLE,Hymn
THE CHURCH OF CHRIST FOLLOWS CHRIST'S WORD,1
COME WE THAT LOVE THE LORD,2
UPON THE FIRST DAY OF THE WEEK,3
I AM THINE O LORD I HAVE HEARD THY VOICE,4
WORTHY OF PRAISE IS CHRIST OUR REDEEMER,5
THO THE WAY WE JOURNEY MAY BE OFTEN DREAR,6
WHEN THE SAVIOR COMES FOR HIS CHOSEN ONES,7
JESUS COMES WITH POW'R TO GLADDEN,8
OFT WE COME TOGETHER,9
TO THE HARVEST FIELDS I WILL GLADLY GO,10
PRAISE HIM! PRAISE HIM! JESUS OUR BLESSED REDEEMER,11
SING ON YE JOYFUL PILGRIMS,12
SING THEM OVER AGAIN TO ME,13
I'M PRESSING ON THE UPWARD WAY,14
I AM HAPPY TODAY AND THE SUN SHINES BRIGHT,15
WE ARE MARCHING TO ETERNITY,16
WE PRAISE THEE O GOD! FOR THE SON OF THY LOVE,17
ALL HAIL THE POW'R OF JESUS' NAME (DIADEM),18
ALL HAIL THE POW'R OF JESUS' NAME,19
SOFTLY NOW THE liGHT OF DAY,20
SAFELY THRU ANOTHER WEEK,21
I WILL SING THE WONDROUS STORY,22
SWEET HOUR OF PRAYER! SWEET HOUR OF PRAYER!,23
TIS THE BLESSED HOUR OF PRAY'R WHEN OUR HEARTS LOWLY BEND,24
THERE'S A GARDEN WHERE JESUS IS WAITING,25
I COME TO THE GARDEN ALONE,26
BE WITH ME LORD I CANNOT liVE WITHOUT THEE,27
MY JESUS I LOVE THEE I KNOW THOU ART MINE,28
SAVIOR MORE THAN liFE TO ME,29
THE WORLD HAS LOST THE RIGHT OF PRAYER,30
WATCH AND PRAY FOR THE LORD IS COMING,31
IN THE BIBLE WE READ OF A BEAUTIFUL PRAY'R,32
MY FAITH LOOKS UP TO THEE,33
THERE IS REST SWEET REST AT THE MASTER'S FEET,34
IF I HAVE WOUNDED ANY SOUL TODAY,35
THOU MY EVERLASTING PORTION,36
CLOSER TO THEE NEAR TO THY SIDE,37
I WOULD BE TRUE FOR THERE ARE THOSE WHO TRUST ME,38
HAVE THINE AFFECTIONS BEEN NAILED TO THE CROSS?,39
GUIDE ME O THOU GREAT JEHOVAH,40
NOT ALL EARTH'S GOLD AND SILVER,41
FATHER IN THE MORNING,42
MORE ABOUT JESUS WOULD I KNOW,43
MORE HOliNESS GIVE ME,44
MORE LOVE TO THEE O CHRIST,45
JESUS KEEP ME NEAR THE CROSS,46
THERE'S NOT A FRIEND liKE THE LOWLY JESUS,47
MAN OF SORROWS! WHAT A NAME,48
KNEEL AT THE CROSS,49
HE LEADETH ME! O BLESSED THO'T!,50
BREAK THOU THE BREAD OF liFE,51
I NEED THEE EV'RY HOUR,52
PURER IN HEART O GOD,53
ERE YOU LEFT YOUR ROOM THIS MORNING,54
TAKE TIME TO BE HOLY,55
NEARER MY GOD TO THEE,56
MY JESUS AS THOU WILT!,57
HEAR ME NOW O GENTLE SAVIOR,58
HOLY HOLY HOLY! LORD GOD ALMIGHTY,59
HOLD THOU MY HAND SO WEAK I AM AND HELPLESS,60
SITTING AT THE FEET OF JESUS,61
WHEN MY WAY GROWETH DREAR PRECIOUS LORD liNGER NEAR,62
WHAT A FRIEND WE HAVE IN JESUS,63
YES FOR ME FOR ME HE CARETH,64
OPEN MY EYES THAT I MAY SEE,65
ALL PEOPLE THAT ON EARTH DO DWELL,66
PRAISE GOD FROM WHOM ALL BLESSINGS FLOW,67
WHEN UPON liFE'S BILLOWS YOU ARE TEMPEST TOSSED,68
PRAISE THE LORD YE HEAV'NS ADORE HIM,69
MY LORD HAS GARMENTS SO WONDROUS FINE,70
THE LORD IS MY SHEPHERD MY JOY AND MY SONG,71
THE LORD MY SHEPHERD IS,72
THE LORD'S MY SHEPHERD I'LL NOT WANT,73
THE LORD'S MY SHEPHERD I'LL NOT WANT (CRIMOND),74
THE LAW OF THE LORD IS PERFECT,75
UNSPOTTED IS THE FEAR OF GOD,76
HALLELUJAH PRAISE JEHOVAH!,77
HARK! THE GENTLE VOICE OF JESUS FALLETH,78
HAVE YOU liFTED A STONE FROM YOUR BROTHER'S WAY,79
THERE IS ROOM IN THE KINGDOM OF GOD MY BROTHER,80
THERE IS MUCH TO DO THERE'S WORK ON EV'RY HAND,81
DO NOT WAIT UNTIL SOME DEED OF GREATNESS YOU MAY DO,82
SOMEBODY DID A GOLDEN DEED,83
HAVE THINE OWN WAY LORD,84
O WOULD YOU BE A BLESSING TRUE,85
O YE CHRISTIAN SOLDIERS AS YOU MARCH ALONG,86
O CHRISTIAN DO NOT HIDE YOUR liGHT,87
ARE YOU CHRIST'S liGHT BEARER?,88
IF THE NAME OF THE SAVIOR IS PRECIOUS TO YOU,89
SWIFTLY WE'RE TURNING liFE'S DAILY PAGES,90
THERE IS A WONDERFUL STORY TO TELL,91
WHEN IN THAT BETTER LAND BEFORE THE BAR WE STAND,92
I WANT TO BE A SOUL WINNER FOR JESUS,93
THO' YOUR HEART MAY BE HEAVY WITH SORROW AND CARE,94
IF I WALK IN THE PATHWAY OF DUTY,95
IS YOUR liFE A CHANNEL OF BLESSING?,96
GIVE OF YOUR BEST TO THE MASTER,97
ALL TO JESUS I SURRENDER,98
MY liFE MY LOVE I GIVE TO THEE,99
TAKE MY liFE AND LET IT BE,100
liVE FOR JESUS O MY BROTHER,101
liVING FOR JESUS A liFE THAT IS TRUE,102
EACH DAY I'LL DO A GOLDEN DEED,103
I HAVE A SAVIOR HE'S PLEADING IN GLORY,104
LOOK ALL AROUND YOU FIND SOMEONE IN NEED,105
THERE ARE LONELY HEARTS TO CHERISH,106
STAND NO LONGER IDLE HEED THE CALL,107
FAR AND NEAR THE FIELDS ARE TEEMING,108
GO IN EARLY MORNING INTO THE HARVEST WHITE,109
READY TO SUFFER GRIEF OR PAIN,110
YIELD NOT TO TEMPTATION,111
ANGRY WORDS O LET THEM NEVER,112
TO THE WORK! TO THE WORK! WE ARE SERVANTS OF GOD,113
I WANT TO BE A WORKER FOR THE LORD,114
O LAND OF REST FOR THEE I SIGH,115
WORK FOR THE NIGHT IS COMING,116
I AM CliNGING TO THE ROCK BLESSED SAVING ROCK,117
THE LORD'S OUR ROCK IN HIM WE HIDE,118
ROCK OF AGES CLEFT FOR ME,119
MY HOPE IS BUILT ON NOTHING LESS,120
THERE IS A ROCK IN A WEARY LAND,121
THERE STANDS A ROCK ON SHORES OF TIME,122
MIGHTY ROCK WHOSE TOW'RING FORM,123
WHEN THE STORMS OF liFE ARE RAGING,124
O SAFE TO THE ROCK THAT IS HIGHER THAN I,125
O SOMETIMES THE SHADOWS ARE DEEP,126
A WONDERFUL SAVIOR IS JESUS MY LORD,127
ONCE I WAS STRAYING IN SIN'S DARK VALLEY,128
WONDERFUL JESUS! GLORIOUS FRIEND!,129
I MET HIM ONE DAY ON A LONELY ROAD,130
JESUS ROSE OF SHARON BLOOM WITHIN MY HEART,131
JESUS AND SHALL IT EVER BE,132
JESUS MEEK AND GENTLE,133
O FOR A THOUSAND TONGUES TO SING,134
SO TENDER SO PRECIOUS MY SAVIOR TO ME,135
ALAS AND DID MY SAVIOR BLEED?,136
THE NAME OF JESUS IS SO SWEET,137
MORE liKE THE MASTER I WOULD EVER BE,138
I NEED JESUS MY NEED I NOW CONFESS,139
JUST WHEN I NEED HIM JESUS IS NEAR,140
I WOULD LOVE TO TELL YOU WHAT I THINK OF JESUS,141
