TITLE,number
"MONHYEHYƐ, MONHYEHYƐ MO AGYAPADEƐ WƆ SORO",1
ADEƐ KƐSEƐ A WAYƐ,2
EBENEZER,3
ASEDA NYINAA YƐ WO DEA,4
ANUONYAM  NKA  NYANKOPƆN,5
MEDE M’AKOMA NE ME KRA,6
MA W’ANI NNA HƆ,7
MEDE  WO ASEDA  KA,8
YESU  MMO  DEƐ  WOAYƐ   DƆƆSO,9
TETE    NYAME.,10
MOMMA  NO  SO,11
KOTODWE NYINAA BƐYI NYAME AYƐ,12
ƆYƐ   ODIMAFOƆ   MA  ME,13
WOSO   NA WO KRƆN,14
MOMMA YƐNNI YƐN NYANKOPƆN NO AKYI,15
ONYAME  TUMFOƆ,16
MAHUNU YESU YOSEF BA NO,17
ASEDA NKA ONYAME,18
ASEDA NKA ONYAME NYAME A ƆNE YƐN WƆ HƆ,19
ƆBƆADEƐ NYAME NE WO,20
MEDE M’AKOMA NYINAA BƐDƆ WO,21
ONYAME KOKUROKO BƐN NI,22
YƐWƆ ƆBARIMA BI,23
NYAME  W’AYAMYE,24
YƐHOWA YƐYI WO AYƐ,25
ƆDE YƐNKƆ,26
YƐBƐYI WO DIN AYƐ,27
WO DIN YƐ NWANWA,28
OWUO ANTUMI NO,29
ƐYƐ ME SƐDEƐ MATUA BIRIBI,30
FA  W’AKWAN HYƐ YEHOWA NSA,31
MEDA WO ASE,32
SIANE BƐGYE W’AYEYIE,33
ONYAME YƐ ƆHENE  KƐSEƐ,34
MEGYINA KALVARY,35
MERENTUMI  NNA  WO  ASE,36
ABRAHAM NYAME ƆBAATAN PA,37
ƆSORO NE ASASE YƐFOƆ,38
WO NSA ANO ADWUMA KAMFO WO,39
WOYƐ TETE NYANKOPƆN,40
YEHOWA TE ASE,41
ANIGYESƐM  KƐSEƐ,42
ƆKWANKYERƐFOƆ  NYAME,43
SU  GU  NO  SO,44
SƐ  MEBUE M’ANO,45
AWURADE BƐBUE ƆKWAN BI AMA ME,46
ƆYƐ     ONYAME,47
ABƆDEƐ  NYINAA  NKOTO   AWURADE,48
MOMMA  YƐNKƆHWƐ  NO,49
YƐDA  WO  ASE ƆHEHE KƐSEƐ,50
ƆBƐTUMI  AYƐ,51
JESUS  OTIM HƆ DAA,52
HYƐ   DEN,53
TUMI NYINAA YƐ WO DEA,54
AWURADE  KASA,55
NYAME YƐ,56
KROKRON KRONKRON KRONKRON,57
MOGYA A ƐREKYI WƆ KALVARY,58
ME NYAME YƐ,59
ƆSABARIMA YEHOWA,60
ODWAMMAA SƐ AYEYIE,61
ASEDA YƐDE MA ONYAME,62
ASEDA YƐ ONYAME NE DEƐ,63
JESUS ƆKO YI YƐ WO KO,64
YƐDA WO ASE NYAME ADWAMMAA,65
W’AYAMYE KƐSEƐ NO NTI,66
YƐDA WO ASE A ƐFATA,67
ƆNE YƐN ADI NO YIE,68
ONYANKOPƆN   ONYANKOPƆN,69
ƐBERE A METE ASE YI,70
YEHOWA YƐ NA N’ADƆEƐ WƆ HƆ DAA,71
WO NSA ANO ADWUMA YƐ NWANWA,72
FA ME YƐ NEA WOPƐ,73
NYAME NE YƐN WƆ HƆ,74
DOMFOƆ NYANKOPƆN YƐDE W”AYEYIE MA WO,75
ƆBƐN ME KYƐN M’ADAMFO,76
ASAFO YEHOWA NE YƐN WƆ HƆ,77
YESU REFRƐ WO,78
ABANDENDEN NE WO YEHOWA,79
ONYAME DƆ NE MMA,80
ONYAME WO NA YƐBƐSOM WOƆ,81
HWAN NA ƆTE SƐ AWURADE,82
ƆYƐ ONYAME A ƆNSAKYERA DA,83
NYAME YƐ DAA,84
MO NDA NYAME ASE DAA,85
ME DE ASEDA ME MA WO,86
AYEYI NE NNASE NDWOM,87
MEKANFO WO,88
EWURADE BԐBA,89
ADASAMA MO NSOM NYAME,90
MԐDA W’ASE, ASEDA WURA,91
ONYAME YE DↃ,92

